Sample,reads.in,reads.out,merged,tabled,nonchim
S251_HistB_1.fastq.gz,10970,7753,5875,5875,5875
S252_HistB_1.fastq.gz,2,1,Removed,Removed,Removed
S253_HistB_1.fastq.gz,6,2,Removed,Removed,Removed
S254_HistB_1.fastq.gz,21250,14063,13591,13591,13591
S255_HistB_1.fastq.gz,10412,7283,5804,5804,5752
S256_HistB_1.fastq.gz,22578,16663,11300,11300,11300
S257_HistB_1.fastq.gz,10649,7568,5436,5436,5436
S258_HistB_1.fastq.gz,6,2,Removed,Removed,Removed
S259_HistB_1.fastq.gz,12,6,Removed,Removed,Removed
S26_HistB_1.fastq.gz,21851,16611,12670,12670,12670
S260_HistB_1.fastq.gz,6134,4573,3433,3433,3433
S261_HistB_1.fastq.gz,19067,12484,12025,12025,11803
S262_HistB_1.fastq.gz,19275,12436,11972,11972,11972
S263_HistB_1.fastq.gz,0,0,Removed,Removed,Removed
S264_HistB_1.fastq.gz,10492,7172,6992,6992,6992
S265_HistB_1.fastq.gz,15544,10722,10411,10411,8697
S266_HistB_1.fastq.gz,14977,10470,10225,10225,10225
S267_HistB_1.fastq.gz,16679,12359,9445,9445,9445
S268_HistB_1.fastq.gz,15065,10873,8639,8639,8480
S269_HistB_1.fastq.gz,23226,14689,14090,14090,13682
S27_HistB_1.fastq.gz,17704,11767,11291,11291,11254
S270_HistB_1.fastq.gz,15376,9978,9600,9600,9389
S271_HistB_1.fastq.gz,12955,9016,7482,7482,7347
S272_HistB_1.fastq.gz,21034,13804,13344,13344,13344
S273_HistB_1.fastq.gz,10,0,Removed,Removed,Removed
S274_HistB_1.fastq.gz,28730,18292,17649,17649,12634
S275_HistB_1.fastq.gz,10764,3852,3495,3495,3495
S276_HistB_1.fastq.gz,9406,6060,5852,5852,5852
S277_HistB_1.fastq.gz,21249,13282,12875,12875,10410
S278_HistB_1.fastq.gz,18176,12256,11812,11812,11749
S279_HistB_1.fastq.gz,9,6,Removed,Removed,Removed
S28_HistB_1.fastq.gz,23538,16038,15536,15536,15536
S280_HistB_1.fastq.gz,22386,9357,8968,8968,8968
S281_HistB_1.fastq.gz,23558,16185,15671,15671,15671
S282_HistB_1.fastq.gz,18305,12296,11915,11915,11915
S283_HistB_1.fastq.gz,7,5,Removed,Removed,Removed
S284_HistB_1.fastq.gz,8975,4847,4699,4699,4699
S285_HistB_1.fastq.gz,17417,10993,10624,10624,10624
S286_HistB_1.fastq.gz,31770,15396,14725,14725,14725
